controller_name,feature_name,category,description,evidence,type,dependencies
"EHC-1000","PCIe Root Complex Gen4 x1/x2/x4/x8 Interface","Interface","Implements a PCI Express Root Complex supporting up to Gen4 (16.0 GT/s) operation. Lane width is configurable to x1, x2, x4, or x8. Provides full link training via the LTSSM with status visibility. Supports downstream device enumeration via ECAM. Equalization is available for robust high-speed operation.","Spec §5 Feature Summary (PCIe), §9.1 PCI Express, §8.2 PCIE_LINK_CTRL/STATUS","Explicit","Requires PD_PCIE powered, REFCLK_PCIE at 100 MHz SSC-compliant, GBL_CTRL.CLK_EN=1, and PCIE_LINK_CTRL.LTSSM_EN with TARGET_SPEED/NUM_LANES configured"
"EHC-1000","PCIe Gen5 Optional Capability","Performance","Provides an option to synthesize the controller with Gen5 capability for higher bandwidth. When enabled, link training negotiates up to the Gen5 target speed. Software can cap speed using TARGET_SPEED. Equalization controls remain applicable. Actual availability depends on PHY support and synthesis configuration.","Spec §5 Feature Summary (PCIe)","Explicit","Requires Gen5-capable PHY, proper board design, and PCIE_LINK_CTRL.TARGET_SPEED set to Gen5 when available"
"EHC-1000","PCIe Lane Bifurcation (x4+x4)","Interface","Supports logical bifurcation of an x8 link into two x4 downstream ports. This enables connecting multiple devices while maintaining aggregate bandwidth. Configuration is platform/strap dependent. Software discovery reflects two logical ports. Link training proceeds independently per x4 group.","Spec §9.1 PCI Express","Explicit","Requires PHY and board routing support for bifurcation and appropriate strap or configuration settings"
"EHC-1000","PCIe Internal Address Translation Unit (iATU)","Memory/Address Translation","Provides ≥8 outbound and ≥8 inbound translation regions. Maps SoC physical address ranges to PCIe address space for MMIO and configuration accesses. Inbound regions whitelist BAR hits into SoC memory. Region control includes base, limit, target, and type. Enables isolation and flexible memory mapping.","Spec §5 Feature Summary (PCIe), §8.2 IATU_* registers, Appendix B","Explicit","Requires programming of IATU_OB_* and IATU_IB_* registers before use; depends on AXI and PCIe clocks active"
"EHC-1000","PCIe ECAM Window for Downstream Config Space","Configuration","Exposes an ECAM aperture to access downstream devices' configuration space. Software can scan bus/device/function using standard PCIe enumeration flows. Base address is programmable in ECAM_BASE_LO/HI. ECAM can be placed within a translated outbound region. Ensures standards-compliant config cycles.","Spec §7 Memory Map (ECAM), §8.2 ECAM_BASE_*, §9.1","Explicit","Requires iATU outbound CFG region configured and ECAM base programmed; PD_PCIE and SoC interconnect clocks must be on"
"EHC-1000","PCIe MSI (Message Signaled Interrupts)","Interrupt","Generates and handles MSI signaling for downstream devices and internal functions. Global MSI enable and steering registers are provided. MSI interrupts can be routed to the SoC GIC via the aggregator. Supports allocation and masking via standard PCIe capabilities. Facilitates scalable interrupt delivery without legacy pins.","Spec §5 Feature Summary (PCIe), §8.2 MSI_CTRL, §13","Explicit","Requires MSI address/data programming and interrupt aggregator routing; coherent memory not required for MSI"
"EHC-1000","PCIe MSI-X","Interrupt","Supports MSI-X with programmable vector table and Pending Bit Array (PBA) in system memory. Allows many interrupt vectors per function for fine-grained steering. Works with the interrupt aggregator for CPU affinity. Enables masking at vector granularity. Improves performance for multi-queue devices.","Spec §5 Feature Summary (PCIe), §8.2 MSIX_CAP_BASE, §13","Explicit","Requires MSI-X table/PBA located in accessible memory and routing configured in aggregator; coherent memory recommended"
"EHC-1000","PCIe Advanced Error Reporting (AER)","Error Handling","Implements AER to detect, log, and report correctable and uncorrectable errors. Provides sticky status and first error header capture. Software can enable, mask, and clear events. Enhances diagnosability and reliability on complex fabrics. Integrates with global error summary.","Spec §5 Feature Summary (PCIe), §8.2 AER_CTRL, ERR_STATUS/ERR_MASK, §14","Explicit","Requires AER enable in AER_CTRL and appropriate interrupt routing; PD_PCIE must be on"
"EHC-1000","PCIe ASPM L0s/L1","Power","Supports Active State Power Management L0s and L1 to reduce link power during idle. Policy is software-controlled based on latency budgets. Works with downstream devices that negotiate ASPM. Can be enabled after link stabilizes. Provides dynamic power savings without full link down.","Spec §5 Feature Summary (PCIe), §8.2 PM_ASPM_CTRL, §9.1","Explicit","Requires link up and PM_ASPM_CTRL configured; platform must meet latency requirements"
"EHC-1000","PCIe L1 Substates (L1.1/L1.2)","Power","Supports deep low-power link substates L1.1 and L1.2 for further power reduction. Entry is negotiated per PCIe spec with capable devices. Software enables after validating latency tolerance. Wakes on activity or PME. Complements ASPM L1 for aggressive savings.","Spec §5 Feature Summary (PCIe), §8.2 PM_ASPM_CTRL, §10","Explicit","Requires device support, correct PM policy, and stable REFCLK; may need wake sources configured"
"EHC-1000","PCIe Power Management Event (PME)","Power/Interrupt","Handles PCIe PME signaling to wake the subsystem from low power. Aggregator routes PME to the SoC GIC. Enables remote wake from downstream devices. Status is visible for software action. Integrates with domain power control for resume flows.","Spec §9.1, §10 Power Architecture, §13 Interrupts","Explicit","Requires PD_PCIE retention or wake logic active and aggregator routing; clocks must resume for handling"
"EHC-1000","PCIe Equalization Control (Auto and Manual)","Performance","Provides per-lane transmitter presets and receiver hints. Supports automatic equalization and software-assisted tuning. Registers expose detailed control for link optimization. Improves signal integrity over longer or challenging channels. Status registers aid validation and tuning.","Spec §5 Feature Summary (PCIe), §8.2 PCIE_EQ_CTRL, §9.1","Explicit","Requires link training cycles and access to EQ registers; PHY must support presets"
"EHC-1000","PCIe Hot Reset","Reset","Supports issuing and handling hot reset to retrain or recover links. Software can trigger via port logic or secondary bus reset semantics. LTSSM transitions to Detect and retrains automatically. Used for recovery and re-enumeration. Works without full chip reset.","Spec §5 Feature Summary (PCIe), §9.1, §12.3","Explicit","Requires PD_PCIE on and downstream device tolerance; software must manage re-enumeration"
"EHC-1000","PCIe ARI (Alternative Routing-ID Interpretation)","Configuration/Performance","Optionally supports ARI for extended function addressing. Enables more functions per device and efficient routing. Beneficial for virtualization and multifunction devices. Discovery via PCIe capabilities. Software should enable when endpoints support it.","Spec §5 Feature Summary (PCIe)","Explicit","Requires ARI-capable endpoints and proper capability negotiation"
"EHC-1000","PCIe ACS (Access Control Services)","Security/Isolation","Optionally supports ACS to enforce isolation and prevent inappropriate peer-to-peer. Controls request redirection, completion, and upstream forwarding. Enhances security in multi-device topologies. Advertised via capabilities. Works with IOMMU for strong isolation.","Spec §5 Feature Summary (PCIe)","Explicit","Requires ACS-capable hierarchy and software enablement; benefits increase with IOMMU present"
"EHC-1000","PCIe ATS/PRI/PASID","Performance/Virtualization","Optionally implements Address Translation Services, Page Request Interface, and Process Address Space IDs. Enables device-side caching of translations and per-process isolation. Improves performance for shared-memory accelerators. Requires OS and IOMMU support. Exposed via PCIe capabilities.","Spec §5 Feature Summary (PCIe)","Explicit","Requires system IOMMU, OS drivers, and endpoint support; configure PASID limits and ATS policy"
"EHC-1000","PCIe SR-IOV (up to 64 VFs per PF)","Virtualization","Supports Single Root I/O Virtualization with up to 64 Virtual Functions per Physical Function. Enables efficient sharing of devices among guests. Managed via SR-IOV capability structures. Works with MSI-X for per-VF interrupts. Requires platform virtualization stack.","Spec §5 Feature Summary (PCIe)","Explicit","Requires SR-IOV capable endpoints/functions, OS hypervisor support, and sufficient MSI-X vectors"
